Artifact ID,Buoy1-Time,Buoy4-Time,Buoy3-Time,Buoy2-Time,Buoy5-Time
0,,2023-09-12 16:06:34.560,2023-09-12 16:06:36.738,,
1,2023-09-12 16:17:40.755,2023-09-12 16:15:39.817,2023-09-12 16:14:41.980,2023-09-12 16:16:42.955,
2,,,2023-09-12 16:14:55.288,,
3,2023-09-12 16:21:02.794,2023-09-12 16:19:01.915,2023-09-12 16:18:04.079,,
4,,,2023-09-12 16:18:15.006,,
5,2023-09-12 16:26:21.981,2023-09-12 16:24:21.127,2023-09-12 16:23:23.283,2023-09-12 16:26:24.293,2023-09-12 16:24:22.196
7,2023-09-12 16:27:57.224,,2023-09-12 16:24:58.563,,2023-09-12 16:25:57.452
8,2023-09-12 16:53:12.514,2023-09-12 16:50:06.675,2023-09-12 16:50:13.835,,
9,2023-09-12 16:55:39.549,2023-09-12 16:52:33.763,2023-09-12 16:52:40.923,2023-09-12 16:55:42.014,
10,2023-09-12 16:57:00.651,2023-09-12 16:53:54.819,2023-09-12 16:54:01.976,,
11,2023-09-12 16:59:00.806,,2023-09-12 16:56:02.135,,
12,,,2023-09-12 16:56:12.702,,
13,,,2023-09-12 16:58:29.614,,
14,2023-09-12 17:16:43.764,2023-09-12 17:14:38.203,,2023-09-12 17:16:43.428,2023-09-12 17:14:43.396
15,2023-09-12 17:19:41.478,,2023-09-12 17:16:41.834,,2023-09-12 17:17:41.108
16,2023-09-12 17:21:06.896,2023-09-12 17:19:01.336,2023-09-12 17:18:07.258,,2023-09-12 17:19:06.532
17,2023-09-12 17:22:37.631,2023-09-12 17:20:32.073,2023-09-12 17:19:37.994,,2023-09-12 17:20:37.260
18,,,,,2023-09-12 17:30:44.973
19,,2023-09-12 17:33:07.196,2023-09-12 17:32:13.113,2023-09-12 17:35:12.491,2023-09-12 17:33:12.395
20,,,2023-09-12 18:12:34.475,2023-09-12 18:15:34.443,2023-09-12 18:13:23.815
21,2023-09-12 18:17:48.335,2023-09-12 18:13:45.270,2023-09-12 18:13:58.675,2023-09-12 18:16:58.469,2023-09-12 18:14:48.018
22,2023-09-12 18:22:11.274,,,2023-09-12 18:21:06.616,
23,,,,2023-09-12 18:22:31.714,
24,,,,2023-09-12 18:24:00.588,
25,2023-09-12 18:26:52.033,2023-09-12 18:22:41.462,2023-09-12 18:21:47.358,,2023-09-12 18:23:51.724
26,,,,2023-09-12 18:27:01.175,
27,2024-01-19 13:04:07.534,,,2024-01-19 13:03:39.988,
28,2024-01-19 13:09:27.896,,,2024-01-19 13:09:00.338,
29,2024-01-19 13:30:33.701,,,2024-01-19 13:31:03.774,
30,2024-01-19 13:34:06.031,,2024-01-19 13:31:41.054,2024-01-19 13:34:38.483,
32,2024-01-19 13:56:13.338,,2024-01-19 13:52:45.921,2024-01-19 13:55:43.366,
