Artifact ID,Buoy2-Time,Buoy5-Time,Buoy1-Time,Buoy3-Time,Buoy4-Time
30,2024-01-19 13:34:38.483,,2024-01-19 13:34:06.031,2024-01-19 13:31:41.054,
5,2023-09-12 16:26:24.293,2023-09-12 16:24:22.196,,2023-09-12 16:23:23.283,
22,2023-09-12 18:21:06.616,,,,
20,2023-09-12 18:15:34.443,2023-09-12 18:13:23.815,,2023-09-12 18:12:34.475,
19,2023-09-12 17:35:12.491,2023-09-12 17:33:12.395,,,
23,2023-09-12 18:22:31.714,,,,
18,,2023-09-12 17:30:44.973,,,
16,,2023-09-12 17:19:06.532,,,
14,,2023-09-12 17:14:43.396,,,2023-09-12 17:14:38.203
3,,,2023-09-12 16:21:02.794,,2023-09-12 16:19:01.915
10,,,2023-09-12 16:57:00.651,,2023-09-12 16:53:54.819
27,,,2024-01-19 13:04:07.534,,
11,,,2023-09-12 16:59:00.806,,
32,,,,2024-01-19 13:52:45.921,
1,,,,2023-09-12 16:14:41.980,
7,,,,2023-09-12 16:24:58.563,
12,,,,2023-09-12 16:56:12.702,
25,,,,,2023-09-12 18:22:41.462
21,,,,,2023-09-12 18:13:45.270
9,,,,,2023-09-12 16:52:33.763
17,,,,,2023-09-12 17:20:32.073
